nearest_place,monitoring_area,latitude,longitude
Ambakandawila,Northern Mangrove Area 1,7.53989,79.79989
Ambakandawila,Northern Mangrove Area 2,7.535089,79.798511
Ambakandawila,Northern Mangrove Area 3,7.532751,79.798111
Ambakandawila,Central Mangrove Area 1,7.526971,79.802079
Ambakandawila,Central Mangrove Area 2,7.522569,79.801783
Ambakandawila,Central Mangrove Area 3,7.522166,79.803
Ambakandawila,Southern Mangrove Area 1,7.518334,79.804777
Ambakandawila,Southern Mangrove Area 2,7.518273,79.80407
Ambakandawila,Southern Mangrove Area 3,7.517628,79.805745
Anavilundawa,Northern Mangrove Area 1,7.718889,79.803889
Anavilundawa,Northern Mangrove Area 2,7.718111,79.802556
Anavilundawa,Northern Mangrove Area 3,7.717888,79.803666
Anavilundawa,Northern Mangrove Area 4,7.716969,79.802492
Anavilundawa,Northern Mangrove Area 5,7.714432,79.798753
Anavilundawa,Northern Mangrove Area 6,7.714,79.801887
Anavilundawa,Northern Mangrove Area 7,7.712726,79.800621
Anavilundawa,Northern Mangrove Area 8,7.712259,79.802185
Anavilundawa,Northern Mangrove Area 9,7.711888,79.803
Anavilundawa,Northern Mangrove Area 10,7.711622,79.801577
Anavilundawa,Central Mangrove Area 1,7.710999,79.80211
Anavilundawa,Central Mangrove Area 2,7.710666,79.801887
Anavilundawa,Central Mangrove Area 3,7.708902,79.798482
Anavilundawa,Central Mangrove Area 4,7.7075,79.799276
Anavilundawa,Central Mangrove Area 5,7.702392,79.799901
Anavilundawa,Central Mangrove Area 6,7.700511,79.801533
Anavilundawa,Central Mangrove Area 7,7.699334,79.801446
Anavilundawa,Central Mangrove Area 8,7.698999,79.803889
Anavilundawa,Central Mangrove Area 9,7.697443,79.803666
Anavilundawa,Southern Mangrove Area 1,7.697074,79.804629
Anavilundawa,Southern Mangrove Area 2,7.696556,79.803666
Anavilundawa,Southern Mangrove Area 3,7.695649,79.801208
Anavilundawa,Southern Mangrove Area 4,7.695445,79.802556
Anavilundawa,Southern Mangrove Area 5,7.693371,79.803295
Anavilundawa,Southern Mangrove Area 6,7.693074,79.802631
Anavilundawa,Southern Mangrove Area 7,7.692377,79.803354
Anavilundawa,Southern Mangrove Area 8,7.690556,79.802888
Anavilundawa,Southern Mangrove Area 9,7.690335,79.802556
Anavilundawa,Southern Mangrove Area 10,7.690001,79.801722
Baththalangunduwa,Northern Mangrove Area,8.497169,79.781321
Baththalangunduwa,Central Mangrove Area,8.490681,79.781181
Baththalangunduwa,Southern Mangrove Area,8.487659,79.782135
Battulu Oya,Northern Mangrove Area 1,7.723358,79.805577
Battulu Oya,Northern Mangrove Area 2,7.72295,79.806573
Battulu Oya,Northern Mangrove Area 3,7.72278,79.805887
Battulu Oya,Central Mangrove Area 1,7.721666,79.804445
Battulu Oya,Central Mangrove Area 2,7.721,79.805223
Battulu Oya,Central Mangrove Area 3,7.721,79.80611
Battulu Oya,Southern Mangrove Area 1,7.719779,79.804777
Battulu Oya,Southern Mangrove Area 2,7.719444,79.804333
